lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
9.000000318337698e-06,1.66455078125,0.5,0,9,,,,,
1.8999999156221747e-05,1.60009765625,0.25,0,19,,,,,
2.9000000722589903e-05,1.375732421875,0.5,0,29,,,,,
,,,0,37,1.7000598907470703,0.18333333730697632,0.8274410367012024,,
,,,0,37,,,,1.7459297180175781,0.28728070855140686
3.899999865097925e-05,2.68359375,0.0,1,39,,,,,
4.8999998398358e-05,1.158203125,0.3333333432674408,1,49,,,,,
5.900000178371556e-05,1.57080078125,0.3333333432674408,1,59,,,,,
6.900000153109431e-05,1.6982421875,0.3333333432674408,1,69,,,,,
,,,1,75,1.4919569492340088,0.3055555522441864,0.8819654583930969,,
,,,1,75,,,,1.6417557001113892,0.28947368264198303
7.899999764049426e-05,0.799560546875,1.0,2,79,,,,,
8.900000102585182e-05,2.3701171875,0.0,2,89,,,,,
9.899999713525176e-05,1.202880859375,0.5,2,99,,,,,
9.999854228226468e-05,1.116973876953125,0.5,2,109,,,,,
,,,2,113,1.455946445465088,0.3472222089767456,0.8382365107536316,,
,,,2,113,,,,1.703147292137146,0.2543860077857971
9.999349276768044e-05,1.408935546875,0.25,3,119,,,,,
9.998484165407717e-05,1.79736328125,0.0,3,129,,,,,
9.997258894145489e-05,1.65625,0.0,3,139,,,,,
9.995673462981358e-05,1.97265625,0.0,3,149,,,,,
,,,3,151,1.2509833574295044,0.472222238779068,0.8533880114555359,,
,,,3,151,,,,1.4019663333892822,0.3662280738353729
9.993727144319564e-05,0.54205322265625,1.0,4,159,,,,,
9.99142139335163e-05,5.23828125,0.0,4,169,,,,,
9.988755482481793e-05,1.36572265625,0.25,4,179,,,,,
9.985730139305815e-05,2.255859375,0.0,4,189,,,,,
,,,4,189,1.2509629726409912,0.375,0.8450126647949219,,
,,,4,189,,,,1.3139616250991821,0.44298243522644043
9.982345363823697e-05,0.45025634765625,1.0,5,199,,,,,
9.9786018836312e-05,1.05419921875,0.3333333432674408,5,209,,,,,
9.974498971132562e-05,2.53369140625,0.0,5,219,,,,,
,,,5,227,1.2111620903015137,0.3333333432674408,0.8689815402030945,,
,,,5,227,,,,1.2708660364151,0.44078943133354187
9.970037353923544e-05,1.364501953125,0.3333333432674408,6,229,,,,,
9.965217759599909e-05,0.279205322265625,1.0,6,239,,,,,
9.960039460565895e-05,2.73876953125,0.0,6,249,,,,,
9.954503912013024e-05,1.233642578125,0.0,6,259,,,,,
,,,6,265,1.0954546928405762,0.4166666567325592,0.8662773966789246,,
,,,6,265,,,,1.2231311798095703,0.44298243522644043
9.948611841537058e-05,0.575225830078125,1.0,7,269,,,,,
9.942362521542236e-05,2.18798828125,0.0,7,279,,,,,
9.935756679624319e-05,1.8258056640625,0.3333333432674408,7,289,,,,,
9.928795043379068e-05,0.1096649169921875,1.0,7,299,,,,,
,,,7,303,1.219546914100647,0.5972222089767456,0.8424558043479919,,
,,,7,303,,,,1.119182825088501,0.5109649300575256
9.921478340402246e-05,1.238525390625,0.5,8,309,,,,,
9.91380657069385e-05,3.4697265625,0.0,8,319,,,,,
9.905781189445406e-05,0.947601318359375,0.3333333432674408,8,329,,,,,
9.897401469061151e-05,0.9993057250976562,0.3333333432674408,8,339,,,,,
,,,8,341,1.0207390785217285,0.4722222089767456,0.8829966187477112,,
,,,8,341,,,,1.1096447706222534,0.559210479259491
9.888668864732608e-05,0.71142578125,1.0,9,349,,,,,
9.879584104055539e-05,0.67529296875,1.0,9,359,,,,,
9.870147187029943e-05,1.466552734375,0.3333333432674408,9,369,,,,,
9.860358841251582e-05,0.30712890625,1.0,9,379,,,,,
,,,9,379,1.183355450630188,0.4166666567325592,0.8807870745658875,,
,,,9,379,,,,1.0330969095230103,0.4999999403953552
9.850220521911979e-05,2.24853515625,0.0,10,389,,,,,
9.839732956606895e-05,1.75146484375,0.0,10,399,,,,,
9.82889614533633e-05,0.1580810546875,1.0,10,409,,,,,
,,,10,417,1.1991790533065796,0.4027777910232544,0.8510206341743469,,
,,,10,417,,,,1.3241500854492188,0.4188596308231354
9.817710815696046e-05,0.30810546875,1.0,11,419,,,,,
9.806178422877565e-05,0.775634765625,0.5,11,429,,,,,
9.794299694476649e-05,1.71630859375,0.0,11,439,,,,,
9.78207535808906e-05,0.945556640625,1.0,11,449,,,,,
,,,11,455,1.1059633493423462,0.444444477558136,0.8603534698486328,,
,,,11,455,,,,1.135587453842163,0.46710526943206787
9.769506141310558e-05,1.238525390625,0.3333333432674408,12,459,,,,,
9.756592771736905e-05,0.65948486328125,0.5,12,469,,,,,
9.743336704559624e-05,1.81787109375,0.0,12,479,,,,,
9.729738667374477e-05,1.137939453125,0.5,12,489,,,,,
,,,12,493,1.1506867408752441,0.5972222089767456,0.8452651500701904,,
,,,12,493,,,,0.9907625913619995,0.5131579041481018
9.715800115372986e-05,0.787109375,0.3333333432674408,13,499,,,,,
9.70152104855515e-05,0.17403119802474976,1.0,13,509,,,,,
9.686902922112495e-05,1.26416015625,0.3333333432674408,13,519,,,,,
9.67194719123654e-05,0.112823486328125,1.0,13,529,,,,,
,,,13,531,1.1811411380767822,0.4722222089767456,0.87455815076828,,
,,,13,531,,,,0.9493249654769897,0.5548245906829834
9.65665458352305e-05,1.0438385009765625,0.3333333432674408,14,539,,,,,
9.641026554163545e-05,1.856201171875,0.25,14,549,,,,,
9.625063830753788e-05,2.78271484375,0.0,14,559,,,,,
9.60876714088954e-05,1.197265625,1.0,14,569,,,,,
,,,14,569,1.0581250190734863,0.4722222089767456,0.88986736536026,,
,,,14,569,,,,1.0115426778793335,0.627193033695221
9.592138667358086e-05,0.76513671875,1.0,15,579,,,,,
9.575179137755185e-05,1.48828125,0.0,15,589,,,,,
9.557889279676601e-05,0.4285888671875,1.0,15,599,,,,,
,,,15,607,1.264765977859497,0.4027777910232544,0.8419191837310791,,
,,,15,607,,,,0.9148424863815308,0.5043859481811523
9.540271275909618e-05,1.1875,0.0,16,609,,,,,
9.522325854049996e-05,1.30609130859375,0.5,16,619,,,,,
9.504054469289258e-05,0.702880859375,1.0,16,629,,,,,
9.485458576818928e-05,0.79644775390625,0.3333333432674408,16,639,,,,,
,,,16,645,1.0735021829605103,0.4305555522441864,0.8692760467529297,,
,,,16,645,,,,0.9679309725761414,0.5526315569877625
9.466538904234767e-05,1.677978515625,0.0,17,649,,,,,
9.447297634324059e-05,1.154296875,0.3333333432674408,17,659,,,,,
9.427735494682565e-05,0.22528076171875,1.0,17,669,,,,,
9.407853940501809e-05,1.439208984375,0.5,17,679,,,,,
,,,17,683,1.4263912439346313,0.4444444179534912,0.8217276930809021,,
,,,17,683,,,,0.9237284064292908,0.5482455492019653
9.387655154569075e-05,0.079620361328125,1.0,18,689,,,,,
9.367139136884362e-05,1.40478515625,0.0,18,699,,,,,
9.346309525426477e-05,1.520751953125,0.0,18,709,,,,,
9.32516559259966e-05,1.22125244140625,0.5,18,719,,,,,
,,,18,721,1.380396842956543,0.3333333432674408,0.8914667963981628,,
,,,18,721,,,,0.9591060876846313,0.5241227746009827
9.303710248786956e-05,0.5089111328125,1.0,19,729,,,,,
9.281944221584126e-05,0.027048110961914062,1.0,19,739,,,,,
9.259869693778455e-05,1.2849197387695312,0.3333333432674408,19,749,,,,,
9.237488848157227e-05,0.82421875,1.0,19,759,,,,,
,,,19,759,1.1657123565673828,0.5,0.8873000144958496,,
,,,19,759,,,,0.8208386301994324,0.6293860077857971
9.214801684720442e-05,0.989501953125,0.3333333432674408,20,769,,,,,
9.191810386255383e-05,0.43659287691116333,0.3333333432674408,20,779,,,,,
9.168517863145098e-05,1.39013671875,0.3333333432674408,20,789,,,,,
,,,20,797,0.9689906239509583,0.5277777910232544,0.8900883793830872,,
,,,20,797,,,,0.8868554830551147,0.6140351295471191
9.144924115389585e-05,0.802978515625,0.5,21,799,,,,,
9.12103132577613e-05,0.5970458984375,1.0,21,809,,,,,
9.096842404687777e-05,0.6400146484375,1.0,21,819,,,,,
9.072357352124527e-05,0.2838592529296875,1.0,21,829,,,,,
,,,21,835,1.2833421230316162,0.4861111044883728,0.85906982421875,,
,,,21,835,,,,0.7159531116485596,0.7039473652839661
9.047579078469425e-05,0.33038330078125,1.0,22,839,,,,,
9.022508311318234e-05,0.828369140625,1.0,22,849,,,,,
8.997148688649759e-05,1.0076675415039062,0.3333333432674408,22,859,,,,,
8.971500210464001e-05,0.478790283203125,0.25,22,869,,,,,
,,,22,873,1.19920015335083,0.5277777910232544,0.8470012545585632,,
,,,22,873,,,,0.7737215757369995,0.5855262875556946
8.945565059548244e-05,1.283203125,0.3333333432674408,23,879,,,,,
8.919346146285534e-05,1.46337890625,0.5,23,889,,,,,
8.892844198271632e-05,0.7347412109375,0.25,23,899,,,,,
8.866062125889584e-05,0.9666748046875,0.3333333432674408,23,909,,,,,
,,,23,911,1.097931981086731,0.5,0.8864688873291016,,
,,,23,911,,,,0.7876394987106323,0.587719202041626
8.839000656735152e-05,0.5615234375,1.0,24,919,,,,,
8.811663428787142e-05,0.8851318359375,0.3333333432674408,24,929,,,,,
8.784050442045555e-05,0.18343353271484375,1.0,24,939,,,,,
8.756165334489197e-05,0.1656494140625,1.0,24,949,,,,,
,,,24,949,1.1577675342559814,0.4722222089767456,0.8918455243110657,,
,,,24,949,,,,0.6012405753135681,0.6995614171028137
8.72800883371383e-05,0.221832275390625,1.0,25,959,,,,,
8.699583850102499e-05,0.16832923889160156,1.0,25,969,,,,,
8.670891838846728e-05,0.3985595703125,1.0,25,979,,,,,
,,,25,987,1.2256898880004883,0.5555555820465088,0.8950547575950623,,
,,,25,987,,,,0.6928941011428833,0.7039474844932556
8.641935710329562e-05,0.56884765625,0.3333333432674408,26,989,,,,,
