lr,train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,val_auroc_macro,train_loss_epoch,train_acc_epoch
,,,10,417,,,,1.2772176265716553,0.4298245310783386
9.817710815696046e-05,1.2431640625,0.0,11,419,,,,,
9.806178422877565e-05,1.66424560546875,0.3333333432674408,11,429,,,,,
9.794299694476649e-05,0.8189697265625,0.3333333432674408,11,439,,,,,
9.78207535808906e-05,1.330810546875,0.5,11,449,,,,,
,,,11,455,1.1411606073379517,0.4166666865348816,0.8603746294975281,,
,,,11,455,,,,1.2683347463607788,0.4057016968727112
9.769506141310558e-05,2.67724609375,0.0,12,459,,,,,
9.756592771736905e-05,0.4998779296875,1.0,12,469,,,,,
9.743336704559624e-05,0.453125,1.0,12,479,,,,,
9.729738667374477e-05,1.79150390625,0.0,12,489,,,,,
,,,12,493,1.1064045429229736,0.5,0.8433186411857605,,
,,,12,493,,,,1.2272286415100098,0.4100877046585083
9.715800115372986e-05,0.586669921875,1.0,13,499,,,,,
9.70152104855515e-05,1.552001953125,0.5,13,509,,,,,
9.686902922112495e-05,1.1982421875,0.3333333432674408,13,519,,,,,
9.67194719123654e-05,0.48876953125,1.0,13,529,,,,,
,,,13,531,1.1069811582565308,0.5,0.8647727370262146,,
,,,13,531,,,,1.2004075050354004,0.5416666865348816
9.65665458352305e-05,0.787109375,1.0,14,539,,,,,
9.641026554163545e-05,0.463134765625,1.0,14,549,,,,,
9.625063830753788e-05,0.2293701171875,1.0,14,559,,,,,
9.60876714088954e-05,0.509765625,1.0,14,569,,,,,
,,,14,569,0.9911210536956787,0.5694444179534912,0.8912773132324219,,
,,,14,569,,,,1.153581142425537,0.5394737124443054
9.592138667358086e-05,1.91552734375,0.0,15,579,,,,,
9.575179137755185e-05,1.400146484375,0.5,15,589,,,,,
9.557889279676601e-05,0.83245849609375,0.3333333432674408,15,599,,,,,
,,,15,607,1.0468155145645142,0.5,0.8631523251533508,,
,,,15,607,,,,1.138797402381897,0.45614030957221985
9.540271275909618e-05,1.12744140625,0.0,16,609,,,,,
9.522325854049996e-05,0.814453125,1.0,16,619,,,,,
9.504054469289258e-05,1.09033203125,0.0,16,629,,,,,
9.485458576818928e-05,0.9837646484375,0.5,16,639,,,,,
,,,16,645,1.3837159872055054,0.3611111044883728,0.858954131603241,,
,,,16,645,,,,1.0687692165374756,0.515350878238678
9.466538904234767e-05,2.1728515625,0.0,17,649,,,,,
9.447297634324059e-05,0.6688232421875,1.0,17,659,,,,,
9.427735494682565e-05,1.002685546875,0.3333333432674408,17,669,,,,,
9.407853940501809e-05,1.46728515625,0.3333333432674408,17,679,,,,,
,,,17,683,1.015823245048523,0.4722222089767456,0.8907302021980286,,
,,,17,683,,,,1.1202797889709473,0.4649122655391693
9.387655154569075e-05,1.8330078125,0.3333333432674408,18,689,,,,,
9.367139136884362e-05,1.12255859375,0.0,18,699,,,,,
9.346309525426477e-05,1.0755615234375,0.25,18,709,,,,,
9.32516559259966e-05,0.978515625,0.5,18,719,,,,,
,,,18,721,0.9840791821479797,0.5,0.8606376647949219,,
,,,18,721,,,,1.0433697700500488,0.49122798442840576
9.303710248786956e-05,1.57574462890625,0.3333333432674408,19,729,,,,,
9.281944221584126e-05,0.91357421875,0.3333333432674408,19,739,,,,,
9.259869693778455e-05,0.2109375,1.0,19,749,,,,,
9.237488848157227e-05,0.54931640625,1.0,19,759,,,,,
,,,19,759,1.0906455516815186,0.4861111044883728,0.8540930151939392,,
,,,19,759,,,,0.9713870882987976,0.5307016968727112
9.214801684720442e-05,1.56805419921875,0.3333333432674408,20,769,,,,,
9.191810386255383e-05,0.3768310546875,1.0,20,779,,,,,
9.168517863145098e-05,0.411865234375,1.0,20,789,,,,,
,,,20,797,1.2804911136627197,0.4166666865348816,0.8714645504951477,,
,,,20,797,,,,1.0959069728851318,0.5679824352264404
9.144924115389585e-05,2.3310546875,0.0,21,799,,,,,
9.12103132577613e-05,0.873046875,1.0,21,809,,,,,
9.096842404687777e-05,1.459228515625,0.25,21,819,,,,,
9.072357352124527e-05,0.9273681640625,0.5,21,829,,,,,
,,,21,835,0.9826440811157227,0.5,0.8834596276283264,,
,,,21,835,,,,1.1029744148254395,0.49561411142349243
9.047579078469425e-05,0.4698486328125,1.0,22,839,,,,,
9.022508311318234e-05,1.4771728515625,0.3333333432674408,22,849,,,,,
8.997148688649759e-05,0.4491119384765625,1.0,22,859,,,,,
8.971500210464001e-05,0.962890625,0.25,22,869,,,,,
,,,22,873,0.9461140632629395,0.5,0.8831229209899902,,
,,,22,873,,,,1.0963650941848755,0.4736842215061188
8.945565059548244e-05,1.39288330078125,0.3333333432674408,23,879,,,,,
8.919346146285534e-05,0.865020751953125,0.3333333432674408,23,889,,,,,
8.892844198271632e-05,0.779052734375,1.0,23,899,,,,,
8.866062125889584e-05,1.22607421875,0.0,23,909,,,,,
,,,23,911,0.9476854205131531,0.4166666865348816,0.8800399899482727,,
,,,23,911,,,,0.990715742111206,0.49122804403305054
8.839000656735152e-05,1.0810546875,0.5,24,919,,,,,
8.811663428787142e-05,0.3900127410888672,1.0,24,929,,,,,
8.784050442045555e-05,1.412353515625,0.0,24,939,,,,,
8.756165334489197e-05,0.032257080078125,1.0,24,949,,,,,
,,,24,949,0.9221464991569519,0.5555555820465088,0.8980008959770203,,
,,,24,949,,,,0.8996731638908386,0.5767544507980347
8.72800883371383e-05,0.854736328125,0.3333333432674408,25,959,,,,,
8.699583850102499e-05,1.074951171875,0.5,25,969,,,,,
8.670891838846728e-05,0.947021484375,0.3333333432674408,25,979,,,,,
,,,25,987,1.143080234527588,0.5138888955116272,0.8527462482452393,,
,,,25,987,,,,0.8949040174484253,0.6052632331848145
8.641935710329562e-05,1.2998046875,0.5,26,989,,,,,
8.612716919742525e-05,0.2662467956542969,1.0,26,999,,,,,
8.583237649872899e-05,1.663848876953125,0.3333333432674408,26,1009,,,,,
8.553499355912209e-05,1.537445068359375,0.3333333432674408,26,1019,,,,,
,,,26,1025,1.0195173025131226,0.5277777910232544,0.9089751839637756,,
,,,26,1025,,,,0.9097245335578918,0.5811403393745422
8.52350567583926e-05,1.107086181640625,0.3333333432674408,27,1029,,,,,
8.493258064845577e-05,0.33644866943359375,1.0,27,1039,,,,,
8.462757978122681e-05,0.24706506729125977,1.0,27,1049,,,,,
8.432009053649381e-05,1.144775390625,0.5,27,1059,,,,,
,,,27,1063,0.9978368878364563,0.4722222089767456,0.8846064209938049,,
,,,27,1063,,,,0.9503247737884521,0.5548245906829834
8.401012019021437e-05,1.526611328125,0.3333333432674408,28,1069,,,,,
8.369769784621894e-05,1.277587890625,0.5,28,1079,,,,,
8.3382852608338e-05,0.10882568359375,1.0,28,1089,,,,,
8.306559175252914e-05,1.013671875,0.5,28,1099,,,,,
,,,28,1101,1.1073118448257446,0.3888888955116272,0.8902251720428467,,
,,,28,1101,,,,0.8432900905609131,0.5548245310783386
8.274595165858045e-05,0.67138671875,0.25,29,1109,,,,,
8.242395415436476e-05,1.22705078125,0.0,29,1119,,,,,
8.209961379179731e-05,1.205810546875,0.25,29,1129,,,,,
8.177295967470855e-05,3.513671875,0.0,29,1139,,,,,
,,,29,1139,0.8995090126991272,0.5833333134651184,0.8815445899963379,,
,,,29,1139,,,,0.9715080857276917,0.4649123251438141
8.144402090692893e-05,0.10930776596069336,1.0,30,1149,,,,,
8.111281204037368e-05,2.1556396484375,0.3333333432674408,30,1159,,,,,
8.077935490291566e-05,0.4542694091796875,1.0,30,1169,,,,,
,,,30,1177,0.9230272769927979,0.5277777910232544,0.8772411346435547,,
,,,30,1177,,,,0.9871992468833923,0.5614034533500671
8.044368587434292e-05,0.985595703125,0.3333333432674408,31,1179,,,,,
8.01058195065707e-05,0.11211133003234863,1.0,31,1189,,,,,
7.976577762747183e-05,1.15673828125,0.0,31,1199,,,,,
7.94235966168344e-05,0.44538116455078125,1.0,31,1209,,,,,
,,,31,1215,1.1049809455871582,0.6111111044883728,0.8769780993461609,,
,,,31,1215,,,,0.821526050567627,0.5657894015312195
7.907929102657363e-05,1.1748046875,0.0,32,1219,,,,,
7.873288996051997e-05,0.11578941345214844,1.0,32,1229,,,,,
7.838442252250388e-05,0.33038330078125,1.0,32,1239,,,,,
7.80339032644406e-05,0.8312835693359375,0.5,32,1249,,,,,
,,,32,1253,0.9978936314582825,0.5833333730697632,0.8681712746620178,,
,,,32,1253,,,,0.8648023009300232,0.5767543911933899
7.768136129016057e-05,0.467742919921875,1.0,33,1259,,,,,
7.732682570349425e-05,0.27553558349609375,1.0,33,1269,,,,,
7.69703256082721e-05,1.32470703125,0.0,33,1279,,,,,
7.661187555640936e-05,0.533203125,1.0,33,1289,,,,,
,,,33,1291,0.8519561886787415,0.5694444179534912,0.897864043712616,,
,,,33,1291,,,,0.7195557355880737,0.5679824352264404
7.625150465173647e-05,0.5406494140625,1.0,34,1299,,,,,
7.588924199808389e-05,0.96453857421875,0.5,34,1309,,,,,
7.552511669928208e-05,0.6295480728149414,0.3333333432674408,34,1319,,,,,
7.515915058320388e-05,0.54296875,1.0,34,1329,,,,,
,,,34,1329,0.8898617029190063,0.5138888955116272,0.8868476748466492,,
,,,34,1329,,,,0.7119616866111755,0.6293860077857971
7.479137275367975e-05,0.819580078125,0.3333333432674408,35,1339,,,,,
7.442179776262492e-05,0.40008544921875,1.0,35,1349,,,,,
7.405046926578507e-05,0.797607421875,1.0,35,1359,,,,,
,,,35,1367,0.8162524104118347,0.5138888955116272,0.9098379015922546,,
,,,35,1367,,,,0.6585706472396851,0.6293860077857971
7.367740909103304e-05,0.31536865234375,1.0,36,1369,,,,,
7.330263906624168e-05,1.0903358459472656,0.3333333432674408,36,1379,,,,,
7.292618829524145e-05,0.374267578125,1.0,36,1389,,,,,
7.254808588186279e-05,1.479248046875,0.5,36,1399,,,,,
,,,36,1405,1.1650665998458862,0.6666666269302368,0.8821232914924622,,
,,,36,1405,,,,0.6958209276199341,0.6337719559669495
7.216836092993617e-05,0.16571044921875,1.0,37,1409,,,,,
7.178703526733443e-05,0.11363601684570312,1.0,37,1419,,,,,
7.140413799788803e-05,0.7744140625,0.5,37,1429,,,,,
7.101969822542742e-05,0.7265625,0.5,37,1439,,,,,
,,,37,1443,0.9003682732582092,0.5,0.910511314868927,,
,,,37,1443,,,,0.6222547292709351,0.6622807383537292
7.063373777782544e-05,2.4080810546875,0.3333333432674408,38,1449,,,,,
7.024630031082779e-05,0.35400390625,1.0,38,1459,,,,,
6.985739310039207e-05,0.8476676940917969,0.3333333432674408,38,1469,,,,,
6.946705980226398e-05,0.1276559829711914,1.0,38,1479,,,,,
,,,38,1481,0.951747477054596,0.5416666269302368,0.8634679913520813,,
,,,38,1481,,,,0.6866058111190796,0.6885964870452881
6.907532224431634e-05,0.6553955078125,0.25,39,1489,,,,,
6.868220953037962e-05,0.308349609375,1.0,39,1499,,,,,
6.828775076428428e-05,0.9594001770019531,0.3333333432674408,39,1509,,,,,
6.789197504986078e-05,0.441162109375,1.0,39,1519,,,,,
,,,39,1519,1.0545504093170166,0.5416666865348816,0.8593434691429138,,
,,,39,1519,,,,0.5633954405784607,0.7061403393745422
6.749490421498194e-05,0.47723388671875,1.0,40,1529,,,,,
6.709657463943586e-05,0.1518540382385254,1.0,40,1539,,,,,
6.669701542705297e-05,0.16796875,1.0,40,1549,,,,,
,,,40,1557,0.9398692846298218,0.4861111044883728,0.8886995315551758,,
,,,40,1557,,,,0.5000614523887634,0.7083333730697632
6.629624840570614e-05,0.17458254098892212,1.0,41,1559,,,,,
6.589430995518342e-05,0.3007354736328125,1.0,41,1569,,,,,
6.549122190335765e-05,0.0775909423828125,1.0,41,1579,,,,,
6.508702063001692e-05,0.888427734375,0.0,41,1589,,,,,
,,,41,1595,1.0819671154022217,0.6666666865348816,0.8867108225822449,,
,,,41,1595,,,,0.6253694295883179,0.6666667461395264
6.468172796303406e-05,0.31048583984375,1.0,42,1599,,,,,
6.427538028219715e-05,0.2679443359375,1.0,42,1609,,,,,
6.386799941537902e-05,0.44598388671875,0.5,42,1619,,,,,
6.345962174236774e-05,0.76519775390625,0.3333333432674408,42,1629,,,,,
,,,42,1633,0.8353103399276733,0.5277777910232544,0.9260311126708984,,
,,,42,1633,,,,0.587689995765686,0.6710526943206787
6.305026909103617e-05,0.982177734375,0.3333333432674408,43,1639,,,,,
6.263998511712998e-05,0.07665634155273438,1.0,43,1649,,,,,
6.22287843725644e-05,0.3233642578125,1.0,43,1659,,,,,
6.181670323712751e-05,1.0693359375,0.0,43,1669,,,,,
,,,43,1671,0.8140393495559692,0.5277777910232544,0.9063973426818848,,
,,,43,1671,,,,0.5491127967834473,0.6732456088066101
6.140376353869215e-05,1.020751953125,0.3333333432674408,44,1679,,,,,
6.099000893300399e-05,0.06702232360839844,1.0,44,1689,,,,,
6.057546124793589e-05,1.475494384765625,0.5,44,1699,,,,,
6.01601495873183e-05,0.037628173828125,1.0,44,1709,,,,,
,,,44,1709,0.8847839832305908,0.5833333134651184,0.8896990418434143,,
,,,44,1709,,,,0.44990313053131104,0.824561357498169
5.9744106692960486e-05,0.04033946990966797,1.0,45,1719,,,,,
5.93273616686929e-05,0.01212310791015625,1.0,45,1729,,,,,
5.8909943618346006e-05,1.184814453125,0.0,45,1739,,,,,
,,,45,1747,0.886014997959137,0.5277777910232544,0.9087226986885071,,
,,,45,1747,,,,0.3600519597530365,0.8596491813659668
5.8491881645750254e-05,0.303497314453125,1.0,46,1749,,,,,
5.807320849271491e-05,0.014386653900146484,1.0,46,1759,,,,,
5.7653953263070434e-05,0.0380096435546875,1.0,46,1769,,,,,
5.723414506064728e-05,0.346405029296875,1.0,46,1779,,,,,
,,,46,1785,0.8432303071022034,0.5138888955116272,0.9144991040229797,,
,,,46,1785,,,,0.37744051218032837,0.846491277217865
5.681381662725471e-05,0.21666717529296875,1.0,47,1789,,,,,
5.639299706672318e-05,0.062469482421875,1.0,47,1799,,,,,
5.597171912086196e-05,0.226806640625,1.0,47,1809,,,,,
5.55500082555227e-05,0.05120551586151123,1.0,47,1819,,,,,
,,,47,1823,0.9723758697509766,0.6388888955116272,0.8865635395050049,,
,,,47,1823,,,,0.36263808608055115,0.8026316165924072
5.5127897212514654e-05,1.819502353668213,0.3333333432674408,48,1829,,,,,
5.4705415095668286e-05,0.15191650390625,1.0,48,1839,,,,,
5.428259464679286e-05,0.3182373046875,1.0,48,1849,,,,,
5.3859468607697636e-05,1.0439453125,0.0,48,1859,,,,,
,,,48,1861,0.9252055287361145,0.5138888955116272,0.8814077973365784,,
,,,48,1861,,,,0.32492226362228394,0.8925439119338989
5.343605880625546e-05,1.242706298828125,0.3333333432674408,49,1869,,,,,
5.301240526023321e-05,0.2305755615234375,1.0,49,1879,,,,,
5.258853343548253e-05,0.8926124572753906,0.5,49,1889,,,,,
5.216447607381269e-05,0.224609375,1.0,49,1899,,,,,
,,,49,1899,0.8988804221153259,0.5694444179534912,0.9032828211784363,,
,,,49,1899,,,,0.2841961681842804,0.8552632331848145
5.174026227905415e-05,0.3424072265625,1.0,50,1909,,,,,
5.131592115503736e-05,0.11195564270019531,1.0,50,1919,,,,,
5.089148544357158e-05,0.028505325317382812,1.0,50,1929,,,,,
,,,50,1937,0.925508439540863,0.5138888955116272,0.9046191573143005,,
,,,50,1937,,,,0.23418088257312775,0.877193033695221
5.0466987886466086e-05,0.38127899169921875,1.0,51,1939,,,,,
5.004245394957252e-05,0.3311309814453125,1.0,51,1949,,,,,
4.9617916374700144e-05,0.010714530944824219,1.0,51,1959,,,,,
4.919341154163703e-05,0.014269351959228516,1.0,51,1969,,,,,
,,,51,1975,1.051365852355957,0.5138888955116272,0.8906986713409424,,
,,,51,1975,,,,0.2357902079820633,0.8991228342056274
4.876896127825603e-05,0.11013031005859375,1.0,52,1979,,,,,
4.8344598326366395e-05,0.08509337902069092,1.0,52,1989,,,,,
4.7920355427777395e-05,0.0198822021484375,1.0,52,1999,,,,,
4.749626532429829e-05,0.014556884765625,1.0,52,2009,,,,,
,,,52,2013,1.212134599685669,0.5,0.8985058665275574,,
,,,52,2013,,,,0.20840848982334137,0.9210526347160339
4.707235348178074e-05,0.08202362060546875,1.0,53,2019,,,,,
4.6648652642033994e-05,0.10595703125,1.0,53,2029,,,,,
4.622519190888852e-05,0.03289222717285156,1.0,53,2039,,,,,
4.580200766213238e-05,0.1915283203125,1.0,53,2049,,,,,
,,,53,2051,1.0570100545883179,0.5138888955116272,0.896959125995636,,
,,,53,2051,,,,0.21964848041534424,0.8486842513084412
4.537912172963843e-05,1.2285566329956055,0.3333333432674408,54,2059,,,,,
4.4956570491194725e-05,0.707763671875,1.0,54,2069,,,,,
4.453438305063173e-05,0.09173965454101562,1.0,54,2079,,,,,
4.411259214975871e-05,0.01363372802734375,1.0,54,2089,,,,,
,,,54,2089,1.0662298202514648,0.4861111044883728,0.8984427452087402,,
,,,54,2089,,,,0.17675219476222992,0.9342105388641357
4.369121961644851e-05,0.25286865234375,1.0,55,2099,,,,,
4.3270305468467996e-05,0.016915321350097656,1.0,55,2109,,,,,
4.2849878809647635e-05,0.0245589017868042,1.0,55,2119,,,,,
,,,55,2127,1.1312006711959839,0.5972222089767456,0.8912352919578552,,
,,,55,2127,,,,0.14447318017482758,0.9517543315887451
4.2429965105839074e-05,0.206024169921875,1.0,56,2129,,,,,
